City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
367,Kloulklubed,PW,83.61,moderate rain,7.0419,134.2556,Storyboard Beach Resort
368,Muncar,ID,69.8,scattered clouds,-8.4333,114.3333,Zaky Homestay
369,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,ibis Balikpapan
370,Kontagora,NG,72.84,light rain,10.3999,5.4695,Queens Guest Inn
372,Sarangani,PH,83.68,overcast clouds,5.4033,125.4636,Ballistic Islet
373,Chuy,UY,62.26,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
374,Santa Fe,AR,60.03,clear sky,-31.6333,-60.7,Conquistador Hotel
375,Chateaubelair,VC,84.81,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
376,Nauta,PE,79.21,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
378,Yarada,IN,82.72,mist,17.65,83.2667,Jeevan
379,Khandbari,NP,73.11,moderate rain,27.3747,87.2039,Sainik Hotel And Lodge
380,Ladnun,IN,83.71,broken clouds,27.65,74.3833,Varsha Sanjay Sadan
381,Roald,NO,67.15,clear sky,62.5833,6.1333,Flem Cabins
382,Merauke,ID,77.29,overcast clouds,-8.4667,140.3333,
383,Guerrero Negro,MX,78.12,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
384,Kisaran,ID,74.39,broken clouds,2.9845,99.6158,Penginapan Batubara1
386,Catalina,US,74.08,light rain,32.5056,-110.9211,Miraval Arizona Resort & Spa
388,Haines Junction,CA,60.75,overcast clouds,60.7522,-137.5108,Parkside Inn
391,Lindas,NO,71.73,overcast clouds,60.7381,5.16,Westland Hotel AS
392,Saint-Augustin,CA,68.43,scattered clouds,51.226,-58.6502,
393,Breznik,BG,65.39,clear sky,42.7414,22.8981,"Guest House ""Margarita"""
394,Solnechnyy,RU,73.24,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
395,Lasa,IT,63.86,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
396,Wana,PK,84.24,clear sky,32.2989,69.5725,Rest House at Wana Camp
397,Shirokiy,RU,68.05,overcast clouds,49.758,129.523,
399,Mantua,IT,80.92,broken clouds,45.1667,10.7833,Hotel la Favorita
400,Feijo,BR,82.72,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
